location,area,bhk,price
Tardeo,1150,2,42500000
Diva Gaon,330,1,550000
Ghatkopar West,1360,3,27000000
Dombivali,500,1,2760000
Thane West,650,1,7990000
Chembur,1100,2,19900000
Andheri West,651,1,2000000
Dombivali East,650,2,4000000
Neral,570,1,1850000
Mulund West,860,2,16000000
Dronagiri,444,1,3850000
Dronagiri,561,2,4950000
Dronagiri,624,2,5500000
Andheri West,642,2,14000000
Ambernath West,989,2,3700000
Ambernath West,896,2,3700000
Palghar,610,1,1800000
Khar West,1022,4,42500000
Airoli,1060,2,15500000
Bhandup East,380,1,7500000
Sanpada,1175,2,19900000
Dombivali East,860,2,5100000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Vashi,1483,3,25500000
Andheri East,275,1,4500000
Neral,973,2,3000000
Dadar West,850,2,35000000
Ambernath East,638,1,2790000
Taloja,1110,2,4900000
Saphale,580,1,1770000
Girgaon,498,1,15000000
Nala Sopara,410,1,1500000
Khopoli,294,1,2254000
Khopoli,436,2,3349000
Vangani,410,1,1740000
Panvel,650,1,3800000
Airoli,1100,2,13000000
Vichumbe,565,1,2429000
Ghatkopar West,1360,3,27000000
Khar,1100,2,7999000
Kandivali West,464,1,12500000
Panvel,887,2,8500000
Kandivali East,2500,4,55000000
Mira Road East,485,1,7600000
Haranwali,605,1,2000000
Chembur,265,1,5600000
Badlapur East,1000,2,3000000
Santacruz West,2920,5,120000000
Kharghar,369,1,4200000
Shahapur,437,1,2579000
Shahapur,482,1,2843000
Andheri East,580,1,9500000
Wada,507,1,2950000
Chembur,570,2,11000000
Nerul,1150,2,17500000
Mulund West,978,2,19000000
Nala Sopara,565,1,1950000
Nalasopara West,565,1,1799000
Dadar East,750,2,22500000
Vevoor,490,1,2121000
Ambernath East,662,2,3569000
Ambernath East,438,1,2361000
Panvel,625,1,2700000
Palghar,524,1,1650000
Vasai,1100,2,6000000
Vasai,685,1,3637000
Bhiwandi,300,1,1600000
Thane West,1265,2,13000000
Goregaon East,854,2,18500000
Nalasopara West,300,1,1400000
Dombivali,1620,3,6500000
Rasayani,313,1,2756000
Rasayani,298,1,2700000
Rasayani,298,1,2700000
Rasayani,313,1,2756000
Rasayani,313,1,2756000
Rasayani,298,1,2700000
Rasayani,298,1,2700000
Panvel,630,1,2600000
Panvel,630,1,2600000
Badlapur East,725,1,2500000
Taloja,990,2,4545000
Taloja,695,1,3180000
Kumbharkhan Pada,565,1,3500000
Kanjurmarg,676,2,15000000
Anjurdive,830,2,8000000
Thane West,750,1,8400000
Kalamboli,900,2,7500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Belapur,550,1,3500000
Kurla East,750,2,9000000
Koper Khairane,1160,2,18000000
Kamathipura,890,1,25000000
Dahisar,425,2,2154000
Virar West,540,1,3200000
Bhangarwadi,674,1,2800000
Borivali West,520,1,11500000
Ambernath West,935,2,4450000
Vangani,450,1,8900000
Kalyan West,830,2,5700000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Virar West,550,1,4000000
matunga east,350,1,7200000
Vichumbe,960,2,6200000
Andheri East,650,1,12500000
Goregaon West,450,1,10000000
Dombivali,950,2,7950000
Santacruz East,1500,3,40000000
Nala Sopara,1275,3,6999000
Boisar,650,1,2050000
Santacruz East,854,2,15500000
Mazgaon,350,1,6500000
Ulwe,385,1,2450000
Mira Road East,850,1,4800000
Kalwa,575,2,6600000
Nerul,1098,2,15500000
Vasai West,560,1,4700000
Thane West,680,1,7700000
Andheri East,275,1,5699000
Kalyan West,830,2,5500000
Kalyan West,830,2,5661000
Kalyan West,650,1,4551000
Thakurli,690,1,5000000
Dombivali,980,2,4900000
Ghatkopar West,540,1,10000000
Mira Road East,1565,3,16500000
Malad West,1080,2,19000000
Dombivali East,380,1,1500000
Mira Road East,575,1,5200000
Thane West,600,1,5500000
Powai,355,1,7500000
Karanjade,660,1,4200000
Malad West,1050,2,23900000
Karanjade,651,1,3800000
Borivali West,515,1,12500000
Ghatkopar West,540,1,11500000
Bandra West,790,2,37500000
Borivali West,515,1,12500000
Ghatkopar West,540,1,11500000
Bandra West,790,2,37500000
Kandivali West,650,2,14000000
Mandvi,270,1,5500000
Mira Road East,800,2,7000000
Kandivali East,420,1,10700000
Kandivali East,310,1,7905000
Kandivali East,469,1,11900000
Kandivali East,466,1,11800000
Kandivali East,420,1,10700000
Kandivali East,310,1,7905000
Kandivali East,466,1,11800000
Kamothe,1093,2,7800000
Airoli,660,1,7100000
Kharghar,600,1,3000000
Ulwe,505,1,3150000
Mira Road East,800,2,11000000
Chembur,500,1,10500000
Chembur,410,1,11000000
Sanpada,655,1,3250000
Mulund West,1000,2,18500000
Borivali West,1151,2,15900000
Thane West,1050,2,17500000
Dombivali,550,1,3600000
Karanjade,600,1,3500000
Kalwa,535,2,4599000
Dadar East,950,2,34000000
Andheri West,3000,4,45000000
Bhayandar East,500,1,4200000
Diva Gaon,590,1,3600000
Kanjurmarg,1100,4,18500000
Parel,250,1,9800000
Neral,470,1,2600000
Belapur,700,1,7500000
Dombivali,671,1,4300000
Karjat,506,1,2430000
Virar East,560,1,2975000
Kalwa,425,1,2700000
Dombivali,540,1,2700000
Kalwa,425,1,2700000
Borivali East,400,1,5700000
Boisar,496,1,1500000
Mira Road East,1090,3,9900000
Mira Road East,1230,2,13500000
Dombivli (West),525,1,3000000
Kharghar,756,1,5500000
Khar,475,1,27500000
Karanjade,600,1,3900000
Goregaon East,450,1,9500000
Goregaon West,600,1,9500000
Kharghar,635,1,2349000
Ulwe,635,1,3700000
Mira Road East,400,1,3200000
Kalwa,450,1,3299000
Boisar,850,1,2350000
Dombivali East,560,1,1999000
Virar,495,1,2800000
Panvel,850,2,3480000
Bandra West,530,1,19000000
Bhiwandi,525,1,2200000
Santacruz West,600,1,23500000
Colaba,635,1,24000000
Bhayandar East,395,1,5599000
Kalyan East,575,1,3400000
Vasai,525,1,2100000
Vasai,405,1,1700000
Bhayandar West,960,2,11400000
Kharghar,620,1,2399000
Kharghar,640,1,2500000
Thane West,1050,2,9500000
Hendre Pada,695,1,2299000
Dharamveer Nagar,380,1,4600000
Thakurli,685,1,4800000
Dombivali,590,1,2875000
Panvel,600,1,2500000
Palghar,475,1,1750000
Thane West,600,1,7699000
Vikhroli West,460,2,6500000
Badlapur East,865,2,3550000
Bhayandar East,415,1,3800000
Dombivli (West),550,1,2720000
Dombivali,600,1,2100000
Pale Bk.,535,1,2650000
Goregaon East,845,2,21900000
Seawoods,1250,2,8900000
Kalyan West,825,2,4900000
Kalyan West,685,1,4500000
Andheri West,800,1,5500000
Karjat,528,2,2419000
Karjat,528,2,2419000
Karjat,276,1,1400000
Karjat,276,1,1400000
Karjat,528,2,2419000
Karjat,528,2,2419000
Karjat,276,1,1400000
Karjat,276,1,1400000
Kalwa,575,1,6000000
Goregaon West,560,1,9500000
Thane West,270,1,2039000
Kandivali East,870,2,14500000
Agripada,790,1,13000000
Mira Road East,1070,2,8800000
Dombivali,600,1,2100000
Nalasopara West,350,1,2399000
Kurla,780,1,8500000
Sewri,500,1,13000000
Andheri East,340,1,4399000
Taloje,640,1,2816000
Kalyan West,825,2,4900000
Chembur,1100,2,16000000
Kurla West,220,1,4000000
Dundare,485,1,1895000
Panvel,610,1,2440000
Kharghar,1100,2,7499000
Dombivali East,550,1,3500000
Bhandup West,486,1,5800000
Dombivali,515,1,3605000
Belapur,525,1,3100000
Nala Sopara,580,1,3400000
Nala Sopara,550,1,3400000
Byculla,275,1,6000000
Mumbai Central,2400,3,60000000
Palava,1269,3,8500000
Deonar,550,1,3990000
Ambernath West,784,1,3300000
Nilje Gaon,909,2,6000000
Dombivli (West),485,1,2667000
Dombivali,500,1,2760000
Bhiwandi,500,1,2000000
Santacruz East,394,1,9000000
Kurla West,700,2,16500000
Khopoli,630,1,2500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Panvel,729,1,4100000
Dombivali,1075,2,5100000
Andheri West,651,1,2000000
Badlapur West,640,1,2300000
Karanjade,1200,1,3200000
Dombivali,1075,2,5100000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,650,1,20000000
Taloja,750,1,3600000
Prabhadevi,1925,3,90000000
Dombivli (West),560,1,2856000
Dombivli (West),545,1,3050000
Khopoli,630,1,2500000
Andheri West,650,1,2000000
Borivali East,790,2,16500000
Kurla West,700,2,16500000
Panvel,729,1,4100000
Andheri West,651,1,2000000
Kandivali West,591,1,8300000
Ghatkopar West,1008,3,19000000
Panvel,1863,3,25000000
Vasind,545,1,2400000
Juhu,680,1,23500000
Andheri East,625,2,11000000
Thane West,1037,2,13000000
Juna Palghar,720,1,2500000
Nalasopara West,520,1,3250000
Dombivali East,646,1,5500000
Thane West,1300,4,17000000
Vasai,630,1,5000000
Andheri West,651,1,2000000
Andheri West,650,1,2000000
Andheri West,651,1,2000000
Matunga,1300,3,39900000
Bhayandar West,1085,2,8500000
Badlapur West,610,1,1800000
Badlapur West,545,1,2000000
Dombivali,620,1,3100000
Santacruz East,952,3,27000000
Kandivali East,670,2,10500000
Kalyan East,800,2,4500000
Dombivli (West),515,1,2575000
Andheri West,650,1,2000000
Andheri West,650,1,2000000
Andheri West,650,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Kamothe,450,1,3100000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,650,1,2000000
Boisar,670,2,1800000
Dombivali East,650,1,5400000
Panvel,729,1,4200000
Andheri West,651,1,2000000
Andheri West,650,1,2000000
Andheri West,650,1,2000000
Andheri West,650,1,2000000
Cuffe Parade,1300,3,67500000
Kumbharkhan Pada,360,1,1500000
Kurla East,648,1,9500000
Bandra East,405,1,14100000
Andheri West,651,1,2000000
Andheri East,340,1,4400000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Dombivali,650,1,3800000
Mulund West,910,3,16000000
Karanjade,675,1,4800000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Ambernath East,675,1,2700000
Kandivali East,900,2,19500000
Andheri West,650,1,2000000
Andheri West,650,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Powai,850,1,16500000
Kurla East,550,1,10000000
Navapada,540,1,2499000
Dombivli (West),350,1,1500000
Andheri West,651,1,2000000
Malad West,900,2,16000000
Panvel,602,1,3400000
Kandivali East,1111,1,11100000
Santacruz West,2000,4,120000000
Andheri West,651,1,2000000
Dadar East,1600,3,59000000
Andheri West,651,1,2000000
Dombivli (West),685,1,4400000
Colaba,600,1,19000000
Kurla West,510,1,6500000
Karjat,375,1,1181000
Karjat,400,1,1250000
Karjat,850,2,2700000
Andheri West,651,1,2000000
Andheri West,650,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
New Balaji Nagar,775,2,2700000
Lower Parel,3300,3,120000000
Andheri West,650,1,2000000
Taloja,1134,2,7500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri East,715,2,16500000
Andheri East,715,2,16500000
Andheri East,715,2,16500000
Andheri East,715,2,16500000
Andheri East,715,2,16500000
Andheri East,715,2,16500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Ulwe,350,1,2000000
Taloja,850,2,3360000
Taloja,600,1,2300000
Mulund West,875,2,18500000
Kharghar,976,2,8000000
Vasai,1700,4,8700000
Thane West,550,1,2500000
Malad West,548,1,11500000
Malad East,660,2,15800000
Mulund West,660,2,16000000
Kalyan West,760,1,4000000
Dahisar,1000,2,17500000
Andheri East,850,2,22500000
Kalyan West,650,1,4100000
Andheri West,651,1,2000000
Titwala,800,2,3200000
Andheri West,650,1,2000000
Virar West,630,2,4350000
Kandivali West,1650,3,32100000
Ambernath East,1380,2,5500000
Ambernath East,995,2,3800000
Andheri East,421,2,9200000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Shil Phata,672,1,5000000
Andheri West,651,1,2000000
Mumbai Central,250,1,7500000
Mumbai Central,250,1,8500000
Lower Parel,2050,4,65000000
Andheri West,650,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Dombivli (West),600,1,4500000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Vikhroli,533,1,8800000
Dombivali East,510,1,2805000
Dombivali East,510,1,2805000
Andheri West,651,1,2000000
Koper Khairane,653,2,15000000
Koper Khairane,653,2,15000000
Koper Khairane,653,2,15000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Goregaon East,700,1,8900000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
Andheri West,651,1,2000000
