bhk_name,bhk_url,bhk_price,bhk_area,bhk_location,bhk_location_url
2,https://www.makaan.com/mumbai/gundecha-builders-greens-phase-1-in-kandivali-east-19833614/2bhk-2t-652-sqft-apartment,1.54 Cr,652,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
2,https://www.makaan.com/mumbai/white-berry-realspaces-residency-in-kandivali-east-19833606/2bhk-2t-623-sqft-apartment,1.83 Cr,623,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
3,https://www.makaan.com/mumbai/white-berry-realspaces-residency-in-kandivali-east-19833603/3bhk-3t-1046-sqft-apartment,3.08 Cr,1046,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
1,https://www.makaan.com/mumbai/metro-group-paramount-in-shil-phata-19833557/1bhk-2t-810-sqft-apartment,44.5 L,810,Shil Phata,https://www.makaan.com/mumbai-property/shil-phata-flats-for-sale-51128
2,https://www.makaan.com/mumbai/builder-project-in-thane-west-19835932/2bhk-2t-876-sqft-apartment,1 Cr,876,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
1,https://www.makaan.com/mumbai/builder-project-in-badlapur-east-19835925/1bhk-1t-550-sqft-apartment,24.5 L,550,Badlapur East,https://www.makaan.com/mumbai-property/badlapur-east-flats-for-sale-51729
2,https://www.makaan.com/mumbai/runwal-group-gardens-phase-3-bldg-no-27-28-in-dombivali-19835913/2bhk-2t-740-sqft-apartment,54.52 L,740,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
2,https://www.makaan.com/mumbai/metro-group-paramount-in-shil-phata-19834231/2bhk-2t-1188-sqft-apartment,70 L,1188,Shil Phata,https://www.makaan.com/mumbai-property/shil-phata-flats-for-sale-51128
1,https://www.makaan.com/mumbai/kanakia-spaces-realty-zenworld-phase-i-in-kanjurmarg-19842008/1bhk-1t-610-sqft-apartment,1.1 Cr,610,Kanjurmarg,https://www.makaan.com/mumbai-property/kanjurmarg-flats-for-sale-50013
2,https://www.makaan.com/mumbai/shubh-realty-mumbai-seven-square-avenue-in-bhayandar-east-19842532/2bhk-2t-1120-sqft-apartment,83 L,1120,Bhayandar East,https://www.makaan.com/mumbai-property/bhayandar-east-flats-for-sale-51209
