location,area,bhk,price
Uttarahalli,1740,3,12900000
Uttarahalli,1460,2,10900000
Uttarahalli,1815,3,13500000
Uttarahalli,1785,3,13300000
Uttarahalli,1470,2,11000000
Begur,1770,3,13200000
Begur,1740,3,12900000
Begur,1675,3,12500000
Begur,1285,2,9747000
Begur,1185,2,9035000
Begur,1455,2,10900000
Begur,1575,2,11800000
Begur,1765,3,13100000
Begur,1635,2,12200000
Kalkere,1308,2,6820000
Kalkere,1186,2,6250000
Kalkere,1319,3,6871000
Kalkere,1248,2,6540000
Kalkere,1554,3,8156000
Kalkere,1299,2,6778000
Kalkere,1231,2,6460000
Kalkere,1471,3,7581000
Kalkere,1272,2,6652000
Kalkere,1286,2,6717000
Kalkere,1221,2,6413000
Kalkere,1610,3,7348000
Kalkere,1267,2,6628000
Kalkere,1265,2,6619000
Varthur,1320,3,8308000
Varthur,1421,3,8906000
Varthur,1321,3,8314000
Varthur,1102,2,7016000
Varthur,1401,3,8788000
Varthur,1100,2,7005000
Kasavanahalli,1429,3,10300000
Varthur,1110,2,5266000
Varthur,1175,2,5552000
Varthur,1120,2,5310000
Varthur,1320,3,6190000
Varthur,1315,2,6168000
Varthur,1450,3,6762000
Varthur,1285,3,6036000
Varthur,1290,3,6058000
Varthur,1590,3,7378000
Varthur,1090,2,5178000
Varthur,1825,3,8412000
Varthur,1200,2,5662000
Kadugodi,1155,2,5659000
Kadugodi,970,2,4753000
Kadugodi,1687,3,8266000
Kadugodi,1124,2,5507000
Jigani,2400,3,4797000
Jigani,1200,3,2398000
Avalahalli Off Sarjapur Road,1240,3,4340000
Avalahalli Off Sarjapur Road,1000,2,3500000
Avalahalli Off Sarjapur Road,1088,2,3808000
Avalahalli Off Sarjapur Road,1257,3,4399000
Avalahalli Off Sarjapur Road,1322,3,4627000
Avalahalli Off Sarjapur Road,1125,2,3937000
Avalahalli Off Sarjapur Road,1025,2,3587000
Avalahalli Off Sarjapur Road,1105,2,3867000
Krishnarajapura,1128,2,4510000
Krishnarajapura,1068,2,4270000
Budigere Cross,2696,4,15800000
Budigere Cross,2300,4,9872000
Budigere Cross,2946,4,17300000
Electronic City Phase 1,965,2,2895000
Electronic City Phase 1,1032,2,3096000
Electronic City Phase 1,951,2,2853000
Electronic City Phase 1,1007,2,3021000
Kannur on Thanisandra Main Road,2153,3,13900000
Kannur on Thanisandra Main Road,2293,3,14900000
Kannur on Thanisandra Main Road,2019,3,13100000
Kannur on Thanisandra Main Road,1853,3,12000000
Narayanapura on Hennur Main Road,2100,3,12000000
Narayanapura on Hennur Main Road,1780,3,10200000
Narayanapura on Hennur Main Road,2900,4,16600000
Narayanapura on Hennur Main Road,1400,2,8050000
Electronic City Phase 1,1371,3,4113000
Electronic City Phase 1,1374,3,4122000
Electronic City Phase 1,933,2,2799000
Electronic City Phase 1,1359,2,4077000
Electronic City Phase 1,1380,3,4140000
Electronic City Phase 1,1117,2,3351000
Electronic City Phase 1,1378,2,4134000
Electronic City Phase 1,1194,2,3582000
Electronic City Phase 1,1457,3,4371000
Electronic City Phase 1,1201,2,3603000
Electronic City Phase 1,1198,2,3594000
Electronic City Phase 1,1309,3,3927000
Electronic City Phase 1,1290,3,3870000
Electronic City Phase 1,1288,3,3864000
Electronic City Phase 1,1298,3,3894000
Electronic City Phase 1,1300,3,3900000
Electronic City Phase 1,2061,4,6183000
Electronic City Phase 1,1920,4,5760000
Electronic City Phase 1,1286,2,3858000
Electronic City Phase 1,1394,3,4182000
Electronic City Phase 1,1266,3,3798000
Electronic City Phase 1,1270,3,3810000
Sarjapur,1469,3,5876000
Sarjapur,1185,2,4740000
Sarjapur,1391,3,5564000
Sarjapur,1428,3,5712000
Sarjapur,1068,2,4272000
Whitefield Hope Farm Junction,1245,3,6711000
Whitefield Hope Farm Junction,1000,2,5499000
Whitefield Hope Farm Junction,1275,3,6860000
Whitefield Hope Farm Junction,1180,3,6390000
Whitefield Hope Farm Junction,1005,2,5524000
Whitefield Hope Farm Junction,1035,2,5672000
Electronic City Phase 1,1155,2,4851000
Electronic City Phase 1,1055,2,4431000
Electronic City Phase 1,1350,3,5670000
Electronic City Phase 1,1030,2,4326000
Electronic City Phase 1,1065,2,4473000
JP Nagar Phase 3,1124,2,5058000
JP Nagar Phase 3,1180,2,5310000
JP Nagar Phase 3,1162,2,5229000
JP Nagar Phase 3,1651,3,7429000
JP Nagar Phase 3,1122,2,5049000
JP Nagar Phase 3,1246,2,5607000
JP Nagar Phase 3,1170,2,5265000
JP Nagar Phase 3,1134,2,5103000
JP Nagar Phase 3,1099,2,4945000
Yelahanka,1500,3,9300000
Yelahanka,1200,3,7440000
Sarjapur,800,3,2400000
Sarjapur,1200,3,3600000
Electronic City Phase II,1040,3,5600000
Nagarbhavi,1166,2,6500000
Bagaluru Near Yelahanka,925,2,4800000
Nagarbhavi,1166,2,6500000
Kengeri,800,2,8280000
Nagarbhavi,615,2,1850000
Nagarbhavi,615,2,1850000
Thanisandra,1700,3,12700000
Bagalur,905,2,4290000
Cheemasandra,1900,5,6900000
K Channasandra,1150,2,4900000
Vijayanagar,1000,3,11500000
CV Raman Nagar,1185,3,6000000
Chandapura,800,2,5000000
Dasarahalli on Tumkur Road,1390,3,12000000
Subramanyapura,1040,2,4455000
Varthur,1200,2,7720000
HBR Layout,1900,5,9200000
Vidyaranyapura,980,2,6000000
Padmanabhanagar,1150,2,3500000
Bommasandra,1100,2,3150000
Kodipur,1315,2,5490000
Subramanyapura,1250,3,6500000
BTM Layout,2400,3,24000000
Nagarbhavi,2100,6,12500000
Horamavu,1150,2,5000000
Sidedahalli,2900,4,12000000
CV Raman Nagar,1005,2,4300000
Hoskote,3100,3,23500000
Hebbal,2500,4,13000000
Kumaraswamy Layout,1290,3,7900000
Devanahalli,6879,4,110000000
Munnekollal,1200,2,17000000
Devanahalli,983,2,7000000
Sarjapur,1552,3,7000000
Kadugondanahalli,750,2,3300000
Horamavu,1650,3,7800000
Devanahalli,983,2,7000000
Nelamangala,814,2,5000000
Kogilu,1630,3,15500000
Chandapura,2000,3,11000000
Vijayanagar,1810,3,16500000
Nagarbhavi,1450,3,8750000
Laggere,651,2,9200000
Vijayanagar,1022,2,4800000
Yelahanka New Town,1398,2,9000000
Konanakunte,1250,3,5900000
J. P. Nagar,1050,2,7000000
Electronics City,6500,10,20500000
RR Nagar,3000,4,26000000
Electronics City,2000,3,7900000
Electronics City,1300,2,6500000
Avalahalli Off Sarjapur Road,1252,3,7500000
Sarjapur,990,2,3100000
Sanjaynagar,1625,3,12500000
Uttarahalli Hobli,1315,3,5800000
Hebbal,2600,4,16000000
Horamavu,1030,2,4500000
Sunkadakatte,2300,4,12000000
Whitefield Hope Farm Junction,605,1,4199000
Whitefield Hope Farm Junction,982,2,6999000
Whitefield Hope Farm Junction,1234,3,8999000
Talaghattapura,700,1,4883000
Talaghattapura,1125,3,8400000
Talaghattapura,1100,3,8321000
Talaghattapura,1300,3,10000000
Kumbalgodu,773,3,6530000
Kumbalgodu,623,2,5460000
Electronics City,1809,3,9600000
Kalyan Nagar,1150,2,7900000
Horamavu,1120,2,5000000
Ramamurthy Nagar,1196,2,7500000
Electronic City Phase 1,1128,2,7700000
HBR Layout,1900,2,9200000
Jnana Ganga Nagar,2200,3,13500000
Lal Bahadur Shastri Nagar,405,1,2000000
Jnana Ganga Nagar,3500,5,22500000
Vidyaranyapura,2600,6,12000000
Narayanapura on Hennur Main Road,1235,4,9800000
RR Nagar,1200,2,4800000
Varthur,1235,2,8600000
Whitefield Hope Farm Junction,570,1,4549000
Whitefield Hope Farm Junction,1110,2,6529000
Whitefield Hope Farm Junction,880,2,5579000
Bellandur,2122,3,22000000
Horamavu,1650,3,7500000
Chandapura,1200,3,5900000
Vidyaranyapura,1600,3,9000000
Vijayanagar,1848,3,18500000
Sarjapur Road Post Railway Crossing,1724,4,12000000
Kengeri Satellite Town,650,2,2800000
Nagarbhavi,1100,2,6300000
Kumaraswamy Layout,1290,3,7900000
J. P. Nagar,1850,3,11000000
Electronic City Phase 2,1150,2,7800000
Electronic City Phase 2,1150,2,7800000
Kartik Nagar,2720,3,32600000
Vibhutipura,1180,2,8500000
Sarjapur,1182,2,3896000
Sarjapur,1182,2,3896000
Sarjapur,1398,3,4544000
Sarjapur,1398,3,4544000
Sarjapur,1467,3,4751000
Sarjapur,1467,3,4751000
Sarjapur,1068,2,3554000
Sarjapur,1068,2,3554000
Sarjapur,1399,3,4547000
Sarjapur,1399,3,4547000
Singasandra,632,1,4829000
Singasandra,615,1,4699000
Singasandra,965,2,7548000
Singasandra,1498,3,11500000
Singasandra,946,2,7399000
Richmond Town,1850,3,20000000
Kannur on Thanisandra Main Road,982,2,6100000
Sarjapur,1750,3,9900000
Marathahalli,1597,3,14500000
Chickpet,1167,2,4500000
Ramamurthy Nagar,1960,3,6500000
Bagaluru Near Yelahanka,4350,5,51000000
Dabaspete,5874,3,4900000
BTM Layout,1200,3,12600000
Dasanapura,1200,3,4000000
Jigani,1200,3,3180000
Jakkur,1200,3,11000000
Yelahanka,1200,3,3500000
Kurubarahalli on Magadi Road,1330,3,2500000
Devanahalli,1454,3,5379000
Electronics City,1200,3,6000000
RR Nagar,620,3,5100000
Karudabande Hosahalli,1500,3,2248000
Karudabande Hosahalli,2400,3,3597000
Karudabande Hosahalli,1200,3,1798000
Off Bannerghatta Road,2400,3,19800000
Sunkadakatte,1200,3,8200000
Devanahalli,1454,3,5379000
Electronics City,1200,3,6000000
Malur,1200,3,1560000
Vinayakanagar,1200,3,2400000
Chandapura,1200,3,5100000
Sunkadakatte,1750,3,12200000
Marsur,2400,4,8899000
Kalyan Nagar,1574,3,10200000
Kumbalgodu,800,2,4800000
Kannur on Thanisandra Main Road,1271,2,8500000
Electronics City,1200,3,5160000
Bilekahalli,2400,3,21600000
Andrahalli,800,3,2800000
Hulimavu,1070,2,4815000
Sanjay Nagar,2400,4,38400000
Hennur,1850,3,7800000
Kumbalgodu,880,2,5500000
Kumbalgodu,880,2,6000000
JP Nagar Phase 7,1820,3,19000000
Banashankari,7000,4,42500000
Nagarbhavi,1800,3,12900000
Sanjay Nagar,4000,4,45000000
Horamavu,2200,4,13000000
Horamavu,3000,4,20000000
HBR Layout,1200,3,9600000
Jyothi Nagar,1200,3,4000000
Chandapura,921,2,3244000
Chandapura,1011,2,3546000
Chandapura,1038,2,3637000
Horamavu,6600,10,22000000
RR Nagar,1168,2,8800000
Sarjapur,1673,3,10600000
Sarjapur,3418,4,27500000
BTM Layout,1700,3,11000000
Bellandur,1040,2,5000000
Vibhutipura,3500,8,26000000
Annapurneshwari Nagar,1440,3,14500000
Budigere Cross,1200,3,3000000
ITPL,1761,3,13600000
ITPL,760,1,6100000
Banashankari,2250,6,20000000
Banashankari,2250,6,20000000
Uttarahalli Hobli,1500,3,6500000
Subramanyapura,1500,3,6500000
Singasandra,1200,2,6600000
Uttarahalli,1000,2,4000000
J. P. Nagar,1186,2,6000000
Jakkur,3920,4,36700000
Jakkur,4470,4,50600000
Jakkur,4170,4,47300000
Hulimavu,2800,3,18200000
HSR Layout,600,3,16500000
Bannerughatta,2500,2,7200000
Kanakapura,1250,2,3500000
Horamavu,1708,3,8500000
J. P. Nagar,1820,3,19900000
Margondanahalli,1000,2,12000000
Electronic City Phase 2,850,2,2950000
Bannerughatta,600,2,2600000
Electronics City,900,3,3869000
Kengeri,805,2,4425000
Kengeri,1165,3,6407000
Kengeri,815,2,4475000
Kengeri,1105,3,6077000
Kengeri,830,2,4550000
Talaghattapura,1000,2,7500000
JP Nagar Phase 6,2700,3,42500000
Nagarbhavi,5300,5,39000000
Nagarbhavi,5300,5,35000000
Abbigere,1270,2,5600000
Kadugondanahalli,700,2,13500000
Uttarahalli,1381,3,5500000
Jayanagar,1225,2,10000000
Hebbal,1285,2,6000000
Electronic City Phase 1,1469,3,11400000
Thubarahalli,1575,3,10800000
Thubarahalli,1315,2,9109000
Thubarahalli,1280,2,8874000
Thubarahalli,1215,2,8439000
Thubarahalli,1525,3,10500000
Thubarahalli,1265,2,8774000
Yelahanka,1345,2,7671000
Yelahanka,1375,2,7836000
Yelahanka,1705,3,9650000
Yelahanka,1370,2,7808000
Yelahanka,1315,2,7506000
Yelahanka,1785,3,10000000
Yelahanka,1685,3,9540000
Yelahanka,1585,3,8990000
Yelahanka,1625,3,9210000
Yelahanka,1460,3,8303000
Yelahanka,1330,2,7588000
Kogilu,1040,2,4600000
Hennur,1800,3,7800000
Hennur,1800,3,7800000
Singasandra,1350,3,9500000
Jigani,4000,8,14000000
Gottigere,1200,3,2700000
