location,area,bhk,price
Sector 23 Dwarka,385,1,4050000
Sector 23 Dwarka,385,1,3500000
Sector 23 Dwarka,385,1,3175000
Sector 23 Dwarka,385,1,2751000
Okhla Industrial Area,2296,3,68500000
Okhla Industrial Area,2296,3,67900000
Okhla Industrial Area,1213,2,34500000
Sector 10 Dwarka,800,1,7500000
Uttam Nagar,800,3,5000000
Sector 19 Dwarka,2200,3,19500000
Sector 3 Dwarka,2200,3,22500000
Sector 2 Dwarka,2200,3,24000000
Sector 23 Dwarka,385,1,2390000
Sector 23 Dwarka,385,1,3445000
Sector 23 Dwarka,385,1,3125000
Uttam Nagar,950,3,6000000
Dwarka Mor,1178,4,8000000
Sector 3 Dwarka,1250,2,14000000
Sector 13 Dwarka,1200,2,12500000
Sector 6 Dwarka,1700,3,16100000
Sector 22 Dwarka,1700,3,17900000
Sector 6 Dwarka,1750,3,18700000
Sector 4 Dwarka,1700,3,17000000
Sector 23 Dwarka,1750,3,19000000
Sector 6 Dwarka,1200,2,13000000
Sector 10 Dwarka,1750,3,21000000
Sector 10 Dwarka,1750,3,24500000
Sector 4 Dwarka,2400,4,19900000
Sector-18 Dwarka,1750,3,22000000
Sector 6 Dwarka,1750,3,19000000
Sector 10 Dwarka,1750,3,24500000
Sector 4 Dwarka,2400,4,19900000
Sector 4 Dwarka,1700,3,17000000
Sector 23 Dwarka,1750,3,19000000
Sector 6 Dwarka,1750,3,18700000
Sector 10 Dwarka,1750,3,21000000
Sector 6 Dwarka,1200,2,13000000
Sector 6 Dwarka,1700,3,16200000
Sector-18 Dwarka,1750,3,22000000
Sector 6 Dwarka,1700,3,15800000
Sector 22 Dwarka,1700,3,17800000
Sector 12 Dwarka,1800,3,19800000
Sector 10 Dwarka,1750,3,18200000
Sector 7 Dwarka,1700,3,16000000
Sector 4 Dwarka,1750,3,18800000
Vasundhara Enclave,1750,3,18900000
Sector 7 Dwarka,1800,3,16000000
Sector-18 Dwarka,1750,3,17200000
Sector 6 Dwarka,1750,3,19000000
Sector 12 Dwarka,1600,3,19700000
Sector 23 Dwarka,385,1,3425000
Sector 23 Dwarka,385,1,2350000
Sector 4 Dwarka,2400,4,21000000
Sector-18 Dwarka,2400,4,22500000
Sector 10 Dwarka,2000,3,24000000
Okhla Industrial Area,2296,3,68000000
Okhla Industrial Area,2296,3,68900000
Okhla Industrial Area,1213,2,34900000
Karampura,2300,3,45000000
Karampura,1700,2,35000000
Vasant Kunj,1700,3,30000000
Sector 6 Dwarka,1100,3,15000000
Vasant Kunj,1500,2,25000000
Dwarka Mor,600,2,2650000
Sector-D Vasant Kunj,1900,3,25000000
Sector 4 Dwarka,1800,3,21000000
Sector 2 Dwarka,3500,5,35000000
Sector 19 Dwarka,1800,3,17500000
Sector-18 Dwarka,2000,3,25000000
Sector 19 Dwarka,3500,4,35000000
Sector 10 Dwarka,2400,4,25500000
Uttam Nagar,540,2,2800000
Uttam Nagar,900,3,5800000
Sector 13 Dwarka,2400,4,24700000
Sector 19 Dwarka,1800,3,20500000
Sector 4 Dwarka,1750,3,18000000
Uttam Nagar,600,2,2700000
Uttam Nagar,650,2,2651000
Uttam Nagar,650,2,2750000
Dwarka Mor,495,2,2600000
Uttam Nagar,585,2,3000000
Dwarka Mor,1000,3,6200000
Dwarka Mor,1000,3,6200000
Dwarka Mor,900,3,5499000
Dwarka Mor,900,3,5499000
Dwarka Mor,720,2,4199000
Dwarka Mor,720,2,4199000
Dwarka Mor,770,3,4099000
Dwarka Mor,770,3,4099000
Dwarka Mor,675,2,3499000
Dwarka Mor,675,2,3499000
Dwarka Mor,1100,3,7499000
Dwarka Mor,1100,3,7499000
Dwarka Mor,700,2,3799000
Dwarka Mor,700,2,3799000
Sector 11 Dwarka,2200,4,21500000
Uttam Nagar,540,2,2575000
Sector 5 Dwarka,2200,4,17500000
Sector 12 Dwarka,1750,3,18000000
Sector 10 Dwarka,1700,3,17000000
Sector 6 Dwarka,2200,3,24000000
Uttam Nagar,650,2,3290000
Sector 12 Dwarka,2400,4,22500000
Sector 5 Dwarka,1750,3,18000000
Sector 11 Dwarka,2400,4,23500000
Sector 6 Dwarka,1600,3,17000000
Sector 4 Dwarka,1700,3,15000000
Sector 11 Dwarka,1700,3,16000000
Sector 6 Dwarka,1700,3,16500000
Sector 3 Dwarka,1700,3,17000000
Sector 23 Dwarka,1500,3,16000000
Uttam Nagar,720,2,3751000
Sector 10 Dwarka,1300,2,11800000
Sector 5 Dwarka,1800,3,18800000
Sector 3 Dwarka,1750,3,17500000
Vasant Kunj,1400,3,28000000
Vasant Kunj,1100,3,28000000
Sector 3 Dwarka,1200,2,13500000
Sector-18 Dwarka,1200,2,13000000
Sector 7 Dwarka,1750,3,17800000
Sector 5 Dwarka,2400,4,26500000
Sector 23 Dwarka,385,1,2825000
Sector 23 Dwarka,385,1,4000000
Uttam Nagar,650,2,3290000
Dwarka Mor,950,3,7000000
Dwarka Mor,950,3,7000000
Dwarka Mor,500,2,2170000
Dwarka Mor,500,2,2170000
Dwarka Mor,360,1,1500000
Dwarka Mor,360,1,1500000
Dwarka Mor,1350,4,8500000
Dwarka Mor,1350,4,8500000
Dwarka Mor,1050,4,5000000
Dwarka Mor,1050,4,5000000
Dwarka Mor,400,1,2100000
Dwarka Mor,400,1,2100000
Dwarka Mor,800,3,3200000
Dwarka Mor,800,3,3200000
Dwarka Mor,600,2,3500000
Dwarka Mor,600,2,3500000
Uttam Nagar,600,2,2600000
Vasant Kunj,1500,3,24000000
Sector 7 Dwarka,1700,3,14500000
Vasant Kunj,1500,3,35000000
Vasant Kunj,1500,3,19000000
Vasant Kunj,1100,2,17500000
Sector-18 Dwarka,1700,3,16000000
Uttam Nagar,1080,3,7200000
Uttam Nagar,900,3,5051000
Sector 12 Dwarka,1100,3,11000000
Sector 12 Dwarka,1050,2,10000000
Sector 11 Dwarka,1800,3,16500000
Sector 6 Dwarka,1800,3,14500000
Sector 11 Dwarka,1300,3,12400000
Sector 6 Dwarka,1800,3,18500000
Sector 4 Dwarka,1800,3,17500000
Sector 23 Dwarka,1700,3,15000000
Sector 12 Dwarka,1600,3,19000000
Sector 11 Dwarka,2200,4,23000000
Sector 6 Dwarka,1800,3,17000000
Sector 22 Dwarka,1590,3,16500000
Sector 13 Dwarka,1740,3,15000000
Sector 11 Dwarka,1980,4,19500000
Sector 12 Dwarka,2250,3,22500000
Sector 10 Dwarka,2200,4,24000000
Sector 3 Dwarka,1200,2,12500000
Sector 12 Dwarka,2400,4,20500000
Sector 6 Dwarka,2000,3,24000000
Sector 3 Dwarka,1700,3,16200000
Sector 4 Dwarka,1500,3,18000000
Sector 5 Dwarka,1700,3,16000000
Sector 3 Dwarka,1700,3,16700000
Sector 5 Dwarka,2000,4,19500000
Sector 4 Dwarka,1200,2,12800000
Sector 9 Dwarka,1700,3,16900000
Uttam Nagar,585,2,3300000
Uttam Nagar,1350,4,8400000
Uttam Nagar,450,1,2000000
Sector 23 Dwarka,1750,3,17900000
Sector 5 Dwarka,2000,4,17500000
