,BHK,Area,Price,Location
322,3 ,1470 ,97 L,"Mogappair,Chennai"
323,3 ,1360 ,65.26 L,"Perumbakkam,Chennai"
324,3 ,1476 ,97.4 L,"Mogappair,Chennai"
325,2 ,1224 ,58.73 L,"Perumbakkam,Chennai"
326,3 ,1849 ,1.23 Cr,"Mogappair,Chennai"
327,2 ,1157 ,55.52 L,"Perumbakkam,Chennai"
328,2 ,1204 ,57.77 L,"Perumbakkam,Chennai"
329,2 ,1204 ,79.45 L,"Mogappair,Chennai"
330,2 ,1264 ,60.65 L,"Perumbakkam,Chennai"
331,2 ,1363 ,91.3 L,"Mogappair,Chennai"
332,2 ,1197 ,78.99 L,"Mogappair,Chennai"
333,3 ,1208 ,77 L,"Porur,Chennai"
334,2 ,860 ,62 L,"Porur,Chennai"
335,2 ,1395 ,54.4 L,"Tiruporur Near Kelambakkam,Chennai"
336,2 ,1350 ,50.83 L,"Tiruporur Near Kelambakkam,Chennai"
337,2 ,1285 ,50.29 L,"Tiruporur Near Kelambakkam,Chennai"
338,3 ,2851 ,1.09 Cr,"Tiruporur Near Kelambakkam,Chennai"
339,3 ,1990 ,80 L,"Tiruporur Near Kelambakkam,Chennai"
340,3 ,1528 ,56.02 L,"Tiruporur Near Kelambakkam,Chennai"
341,2 ,1201 ,47.39 L,"Tiruporur Near Kelambakkam,Chennai"
342,2 ,1303 ,50.96 L,"Tiruporur Near Kelambakkam,Chennai"
343,2 ,1177 ,46.25 L,"Tiruporur Near Kelambakkam,Chennai"
344,2 ,1176 ,45.75 L,"Tiruporur Near Kelambakkam,Chennai"
345,3 ,2293 ,86.67 L,"Tiruporur Near Kelambakkam,Chennai"
346,3 ,2291 ,86.67 L,"Tiruporur Near Kelambakkam,Chennai"
347,3 ,2155 ,81.01 L,"Tiruporur Near Kelambakkam,Chennai"
348,3 ,2154 ,81 L,"Tiruporur Near Kelambakkam,Chennai"
349,2 ,1365 ,53.01 L,"Tiruporur Near Kelambakkam,Chennai"
350,3 ,2300 ,86.67 L,"Tiruporur Near Kelambakkam,Chennai"
351,2 ,1188 ,44.05 L,"Tiruporur Near Kelambakkam,Chennai"
352,2 ,1209 ,56.81 L,"Mogappair,Chennai"
353,3 ,1353 ,63.57 L,"Mogappair,Chennai"
354,3 ,1656 ,77.81 L,"Mogappair,Chennai"
355,2 ,1209 ,56.81 L,"Mogappair,Chennai"
356,2 ,1209 ,56.81 L,"Mogappair,Chennai"
357,3 ,1827 ,85.85 L,"Mogappair,Chennai"
358,3 ,1353 ,63.57 L,"Mogappair,Chennai"
359,3 ,1353 ,63.57 L,"Mogappair,Chennai"
360,3 ,1530 ,71.89 L,"Mogappair,Chennai"
361,3 ,1656 ,77.81 L,"Mogappair,Chennai"
362,3 ,1656 ,77.81 L,"Mogappair,Chennai"
363,3 ,1396 ,65.59 L,"Mogappair,Chennai"
364,3 ,1827 ,85.85 L,"Mogappair,Chennai"
