,BHK,Area,Price,Location
1315,7 BHK,3500 Sq.Ft,1.75 Cr,"NRI Layout,Bangalore"
1316,7 BHK,3500 Sq.Ft,1.75 Cr,"NRI Layout,Bangalore"
1317,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1318,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1319,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1320,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1321,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1322,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1323,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1324,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1325,2 BHK,1280 Sq.Ft,65 L,"Mallathahalli,Bangalore"
1326,3 BHK,1820 Sq.Ft,1.2 Cr,"Marathahalli,Bangalore"
1327,3 BHK,2060 Sq.Ft,1.8 Cr,"JP Nagar Phase 7,Bangalore"
1328,3 BHK,1290 Sq.Ft,1.71 Cr,"Jogupalya,Bangalore"
